ProteinID(Uniprot) DiseaseID(Uniprot) DiseaseID(OMIM) DiseaseID(MeSH) 
1433G_HUMAN DI-05090 OMIM:617665 MeSH:D013036 
2A5D_HUMAN DI-04419 OMIM:616355 MeSH:D008607 
2AAA_HUMAN DI-04420 OMIM:616362 MeSH:D008607 
2ABB_HUMAN DI-01075 OMIM:604326 MeSH:D020754 
3BHS2_HUMAN DI-00042 OMIM:201810 MeSH:D000312 
3BHS7_HUMAN DI-00329 OMIM:607765 MeSH:D002780 
3BP2_HUMAN DI-00296 OMIM:118400 MeSH:D002636 
3HAO_HUMAN DI-05094 OMIM:617660 MeSH:D000015 
5HT1A_HUMAN DI-03472 OMIM:614674 MeSH:D056660 
5NTC_HUMAN DI-04024 OMIM:613162 MeSH:D015419 
5NTD_HUMAN DI-03016 OMIM:211800 MeSH:D002114 
A16L1_HUMAN DI-02658 OMIM:611081 MeSH:D015212 
A1AT_HUMAN DI-02928 OMIM:613490 MeSH:D019896 
A2AP_HUMAN DI-00075 OMIM:262850 MeSH:D006474 
A2ML1_HUMAN DI-05294 OMIM:166760 MeSH:D010033 
A4_HUMAN DI-03832 OMIM:104300 MeSH:D000544 
A4_HUMAN DI-00097 OMIM:605714 MeSH:D028243 
AAAS_HUMAN DI-00018 OMIM:231550 MeSH:D000309 
AAGAB_HUMAN DI-03540 OMIM:148600 MeSH:D007645 
AAKG2_HUMAN DI-01150 OMIM:194200 MeSH:D014927 
AAKG2_HUMAN DI-00245 OMIM:600858 MeSH:D024741 
AASS_HUMAN DI-01773 OMIM:238700 MeSH:D020167 
AASS_HUMAN DI-04240 OMIM:616034 MeSH:D028361 
AATM_HUMAN DI-05722 OMIM:618721 MeSH:D013036 
ABCA1_HUMAN DI-01742 OMIM:205400 MeSH:D013631 
ABCA1_HUMAN DI-01743 OMIM:604091 MeSH:D052456 
ABCA2_HUMAN DI-05788 OMIM:618808 MeSH:D065886 
ABCA3_HUMAN DI-00962 OMIM:610921 MeSH:D011649 
ABCA4_HUMAN DI-01084 OMIM:248200 MeSH:D003317 
ABCA4_HUMAN DI-00056 OMIM:153800 MeSH:D008268 
ABCA4_HUMAN DI-00985 OMIM:601718 MeSH:D012174 
ABCA4_HUMAN DI-00319 OMIM:604116 MeSH:D058499 
ABCA7_HUMAN DI-04711 OMIM:608907 MeSH:D000544 
ABCAC_HUMAN DI-00584 OMIM:242500 MeSH:D017490 
ABCB6_HUMAN DI-03384 OMIM:614497 MeSH:D003103 
ABCB6_HUMAN DI-04131 OMIM:609153 MeSH:D006947 
ABCB6_HUMAN DI-03384 OMIM:614497 MeSH:D008850 
ABCB6_HUMAN DI-03880 OMIM:615402 MeSH:D010859 
ABCB7_HUMAN DI-02459 OMIM:301310 MeSH:D000756 
ABCB7_HUMAN DI-02459 OMIM:301310 MeSH:D020754 
ABCBB_HUMAN DI-00950 OMIM:601847 MeSH:D002780 
ABCC8_HUMAN DI-05824 OMIM:618857 MeSH:D003920 
ABCC9_HUMAN DI-03143 OMIM:614050 MeSH:D001281 
ABCC9_HUMAN DI-00221 OMIM:608569 MeSH:D002311 
ABCC9_HUMAN DI-03485 OMIM:239850 MeSH:D006983 
ABCC9_HUMAN DI-03485 OMIM:239850 MeSH:D010009 
ABCD1_HUMAN DI-00050 OMIM:300100 MeSH:D000326 
ABCD3_HUMAN DI-04360 OMIM:616278 MeSH:D008107 
ABCD4_HUMAN DI-03558 OMIM:614857 MeSH:D006712 
ABCD4_HUMAN DI-03558 OMIM:614857 MeSH:D008661 
ABCG5_HUMAN DI-05695 OMIM:618666 MeSH:D008052 
ABCG8_HUMAN DI-02886 OMIM:611465 MeSH:D005705 
ABCG8_HUMAN DI-02308 OMIM:210250 MeSH:D008052 
ABD12_HUMAN DI-02920 OMIM:612674 MeSH:D001259 
ABD12_HUMAN DI-02920 OMIM:612674 MeSH:D002386 
ABD12_HUMAN DI-02920 OMIM:612674 MeSH:D006319 
ABD12_HUMAN DI-02920 OMIM:612674 MeSH:D012174 
ABD12_HUMAN DI-02920 OMIM:612674 MeSH:D015417 
ABHD5_HUMAN DI-00262 OMIM:275630 MeSH:D008052 
ABHD5_HUMAN DI-00262 OMIM:275630 MeSH:D016113 
ABL1_HUMAN DI-05064 OMIM:617602 MeSH:D001848 
ABL1_HUMAN DI-05064 OMIM:617602 MeSH:D006330 
ABL1_HUMAN DI-03735 OMIM:608232 MeSH:D015464 
ACACA_HUMAN DI-01164 OMIM:613933 MeSH:D008052 
ACAD8_HUMAN DI-01836 OMIM:611283 MeSH:D008661 
ACAD9_HUMAN DI-01173 OMIM:611126 MeSH:D008661 
ACAD9_HUMAN DI-01173 OMIM:611126 MeSH:D028361 
ACADM_HUMAN DI-01956 OMIM:201450 MeSH:D008052 
ACADS_HUMAN DI-02301 OMIM:201470 MeSH:D008052 
ACADV_HUMAN DI-02411 OMIM:201475 MeSH:D008052 
ACATN_HUMAN DI-03388 OMIM:614482 MeSH:D000015 
ACATN_HUMAN DI-01042 OMIM:612539 MeSH:D015419 
ACBD5_HUMAN DI-05818 OMIM:618863 MeSH:D020279 
ACBD5_HUMAN DI-05818 OMIM:618863 MeSH:D058499 
ACD_HUMAN DI-04521 OMIM:616553 MeSH:D019871 
ACER3_HUMAN DI-05125 OMIM:617762 MeSH:D020279 
ACE_HUMAN DI-03406 OMIM:614519 MeSH:D002543 
ACE_HUMAN DI-02756 OMIM:612624 MeSH:D048909 
ACHA2_HUMAN DI-00821 OMIM:610353 MeSH:D017034 
ACHA2_HUMAN DI-05284 OMIM:610353 MeSH:D020936 
ACHA3_HUMAN DI-05743 OMIM:191800 MeSH:D001750 
ACHA4_HUMAN DI-00819 OMIM:600513 MeSH:D017034 
ACHA_HUMAN DI-00368 OMIM:601462 MeSH:D020294 
ACHB2_HUMAN DI-00820 OMIM:605375 MeSH:D017034 
ACHB_HUMAN DI-04393 OMIM:616313 MeSH:D020294 
ACHD_HUMAN DI-04394 OMIM:616321 MeSH:D020294 
ACHE_HUMAN DI-04397 OMIM:605809 MeSH:D020294 
ACL6B_HUMAN DI-05592 OMIM:618468 MeSH:D013036 
ACL6B_HUMAN DI-05593 OMIM:618470 MeSH:D065886 
ACM2_HUMAN DI-00697 OMIM:608516 MeSH:D003865 
ACM3_HUMAN DI-03312 OMIM:100100 MeSH:D011535 
ACON_HUMAN DI-03409 OMIM:614559 MeSH:D012162 
ACON_HUMAN DI-04381 OMIM:616289 MeSH:D015418 
ACON_HUMAN DI-03409 OMIM:614559 MeSH:D019636 
ACOX1_HUMAN DI-00049 OMIM:264470 MeSH:D000326 
ACOX1_HUMAN DI-05884 OMIM:618960 MeSH:D002607 
ACOX1_HUMAN DI-05884 OMIM:618960 MeSH:D015418 
ACOX2_HUMAN DI-04924 OMIM:617308 MeSH:D002780 
ACSF3_HUMAN DI-03246 OMIM:614265 MeSH:D008052 
ACSL4_HUMAN DI-01183 OMIM:300194 MeSH:D009394 
ACSL4_HUMAN DI-00734 OMIM:300387 MeSH:D038901 
ACTA_HUMAN DI-03141 OMIM:614042 MeSH:D009072 
ACTA_HUMAN DI-03109 OMIM:613834 MeSH:D014652 
ACTA_HUMAN DI-03109 OMIM:613834 MeSH:D015878 
ACTA_HUMAN DI-00130 OMIM:611788 MeSH:D017545 
ACTB_HUMAN DI-03416 OMIM:243310 MeSH:D001763 
ACTB_HUMAN DI-03416 OMIM:243310 MeSH:D003103 
ACTB_HUMAN DI-00412 OMIM:607371 MeSH:D004421 
ACTB_HUMAN DI-03416 OMIM:243310 MeSH:D006972 
ACTB_HUMAN DI-03416 OMIM:243310 MeSH:D008607 
ACTC_HUMAN DI-00223 OMIM:613424 MeSH:D002311 
ACTC_HUMAN DI-02497 OMIM:612794 MeSH:D006344 
ACTC_HUMAN DI-00241 OMIM:612098 MeSH:D024741 
ACTG_HUMAN DI-03417 OMIM:614583 MeSH:D001763 
ACTG_HUMAN DI-03417 OMIM:614583 MeSH:D003103 
ACTG_HUMAN DI-00846 OMIM:604717 MeSH:D006319 
ACTG_HUMAN DI-03417 OMIM:614583 MeSH:D006972 
ACTG_HUMAN DI-03417 OMIM:614583 MeSH:D008607 
ACTHR_HUMAN DI-01669 OMIM:202200 MeSH:D000309 
ACTH_HUMAN DI-04078 OMIM:155310 MeSH:D007418 
ACTL9_HUMAN DI-06072 OMIM:619258 MeSH:D007248 
ACTN1_HUMAN DI-03753 OMIM:615193 MeSH:D001791 
ACTN1_HUMAN DI-03753 OMIM:615193 MeSH:D006470 
ACTN2_HUMAN DI-00211 OMIM:612158 MeSH:D002311 
ACTN2_HUMAN DI-05700 OMIM:618654 MeSH:D009135 
ACTN2_HUMAN DI-04440 OMIM:612158 MeSH:D024741 
ACTN4_HUMAN DI-01620 OMIM:603278 MeSH:D005923 
ACTS_HUMAN DI-04672 OMIM:616852 MeSH:D009135 
ACTS_HUMAN DI-02034 OMIM:161800 MeSH:D017696 
ACTS_HUMAN DI-01412 OMIM:161800 MeSH:D020914 
ACVL1_HUMAN DI-01717 OMIM:600376 MeSH:D013683 
ACVR1_HUMAN DI-00499 OMIM:135100 MeSH:D009221 
ACY1_HUMAN DI-00095 OMIM:609924 MeSH:D000592 
